season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2025.0,NBA,Precious Achiuwa,achiupr01,25.0,NYK,C,57.0,10.0,1170.0,13.6,0.53,0.11,0.211,10.0,21.0,15.5,6.2,2.0,3.3,11.2,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0.0
2025.0,NBA,Steven Adams,adamsst01,31.0,HOU,C,58.0,3.0,794.0,16.6,0.541,0.012,0.557,21.8,22.0,21.9,10.9,1.3,3.2,20.6,13.6,1.0,1.3,2.3,0.137,0.0,0.3,0.3,0.5
2025.0,NBA,Bam Adebayo,adebaba01,27.0,MIA,C,78.0,78.0,2674.0,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,0.135,1.0,1.0,2.0,2.7
2025.0,NBA,Ochai Agbaji,agbajoc01,24.0,TOR,SG,64.0,45.0,1739.0,12.0,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5
2025.0,NBA,Santi Aldama,aldamsa01,24.0,MEM,PF,65.0,16.0,1660.0,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,0.144,2.5,0.7,3.2,2.2
2025.0,NBA,Nickeil Alexander-Walker,alexani01,26.0,MIN,SG,82.0,10.0,2073.0,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8
2025.0,NBA,Trey Alexander,alexatr01,21.0,DEN,SG,24.0,0.0,117.0,2.9,0.374,0.415,0.098,1.0,9.8,5.6,11.4,0.8,0.8,10.5,17.3,-0.2,0.0,-0.2,-0.077,-7.9,-1.8,-9.7,-0.2
2025.0,NBA,Grayson Allen,allengr01,29.0,PHO,SG,64.0,7.0,1544.0,13.7,0.631,0.716,0.233,2.5,11.3,7.0,12.5,1.7,1.2,12.2,17.6,2.0,0.6,2.5,0.079,0.7,-1.0,-0.3,0.7
2025.0,NBA,Jarrett Allen,allenja01,26.0,CLE,C,82.0,82.0,2296.0,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6
2025.0,NBA,Jose Alvarado,alvarjo01,26.0,NOP,PG,56.0,23.0,1366.0,13.4,0.523,0.593,0.142,2.1,8.9,5.4,27.3,2.6,1.0,13.4,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2
