season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2025.0,nba,all_defense,1st,F,Evan Mobley,mobleev01,23.0,199.0,200.0,0.995,NA,NA,NA
2025.0,nba,all_defense,1st,G,Dyson Daniels,daniedy01,21.0,191.0,200.0,0.955,NA,NA,NA
2025.0,nba,all_defense,1st,F,Luguentz Dort,dortlu01,25.0,180.0,200.0,0.9,NA,NA,NA
2025.0,nba,all_defense,1st,F,Draymond Green,greendr01,34.0,179.0,200.0,0.895,NA,NA,NA
2025.0,nba,all_defense,1st,F,Amen Thompson,thompam01,22.0,171.0,200.0,0.855,NA,NA,NA
2025.0,nba,all_defense,2nd,C,Ivica Zubac,zubaciv01,27.0,114.0,200.0,0.57,NA,NA,NA
2025.0,nba,all_defense,2nd,C,Jaren Jackson Jr.,jacksja02,25.0,107.0,200.0,0.535,NA,NA,NA
2025.0,nba,all_defense,2nd,G,Jalen Williams,willija06,23.0,79.0,200.0,0.395,NA,NA,NA
2025.0,nba,all_defense,2nd,F,Toumani Camara,camarto01,24.0,74.0,200.0,0.37,NA,NA,NA
2025.0,nba,all_defense,2nd,C,Rudy Gobert,goberru01,31.0,65.0,200.0,0.325,NA,NA,NA
2025.0,nba,all_defense,ORV,F,OG Anunoby,anunoog01,27.0,49.0,200.0,0.245,NA,NA,NA
2025.0,nba,all_defense,ORV,C,Bam Adebayo,adebaba01,27.0,18.0,200.0,0.09,NA,NA,NA
2025.0,nba,all_defense,ORV,G,Derrick White,whitede01,30.0,15.0,200.0,0.075,NA,NA,NA
2025.0,nba,all_defense,ORV,F,Giannis Antetokounmpo,antetgi01,30.0,12.0,200.0,0.06,NA,NA,NA
2025.0,nba,all_defense,ORV,G,Shai Gilgeous-Alexander,gilgesh01,26.0,12.0,200.0,0.06,NA,NA,NA
2025.0,nba,all_defense,ORV,F,Jaden McDaniels,mcdanja02,24.0,10.0,200.0,0.05,NA,NA,NA
2025.0,nba,all_defense,ORV,F,Dillon Brooks,brookdi01,29.0,7.0,200.0,0.035,NA,NA,NA
2025.0,nba,all_defense,ORV,C,Jarrett Allen,allenja01,26.0,4.0,200.0,0.02,NA,NA,NA
2025.0,nba,all_defense,ORV,G,Anthony Edwards,edwaran01,23.0,3.0,200.0,0.015,NA,NA,NA
2025.0,nba,all_defense,ORV,C,Brook Lopez,lopezbr01,36.0,3.0,200.0,0.015,NA,NA,NA
