season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2025.0,NBA,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,30.0,500.0,500.0,1.0,100.0,0.0,0.0
2025.0,NBA,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,26.0,500.0,500.0,1.0,100.0,0.0,0.0
2025.0,NBA,all_nba,1T,C,Nikola Jokić,jokicni01,29.0,500.0,500.0,1.0,100.0,0.0,0.0
2025.0,NBA,all_nba,1T,F,Jayson Tatum,tatumja01,26.0,500.0,500.0,1.0,100.0,0.0,0.0
2025.0,NBA,all_nba,1T,G,Donovan Mitchell,mitchdo01,28.0,414.0,500.0,0.828,61.0,35.0,4.0
2025.0,NBA,all_nba,2T,G,Anthony Edwards,edwaran01,23.0,318.0,500.0,0.636,11.0,87.0,2.0
2025.0,NBA,all_nba,2T,F,LeBron James,jamesle01,40.0,289.0,500.0,0.578,17.0,61.0,21.0
2025.0,NBA,all_nba,2T,G,Stephen Curry,curryst01,36.0,244.0,500.0,0.488,2.0,68.0,30.0
2025.0,NBA,all_nba,2T,C,Evan Mobley,mobleev01,23.0,238.0,500.0,0.476,1.0,69.0,26.0
2025.0,NBA,all_nba,2T,G,Jalen Brunson,brunsja01,28.0,232.0,500.0,0.464,2.0,62.0,36.0
2025.0,NBA,all_nba,3T,G,Cade Cunningham,cunnica01,23.0,234.0,500.0,0.446,6.0,50.0,43.0
2025.0,NBA,all_nba,3T,C,Karl-Anthony Towns,townska01,29.0,173.0,500.0,0.344,0.0,40.0,52.0
2025.0,NBA,all_nba,3T,G,Tyrese Haliburton,halibty01,24.0,79.0,500.0,0.158,0.0,11.0,46.0
2025.0,NBA,all_nba,3T,F,Jalen Williams,willija06,23.0,73.0,500.0,0.146,0.0,4.0,61.0
2025.0,NBA,all_nba,3T,G,James Harden,hardeja01,35.0,68.0,500.0,0.136,0.0,4.0,56.0
2025.0,NBA,all_nba,ORV,C,Alperen Şengün,sengual01,22.0,58.0,500.0,0.116,0.0,6.0,40.0
2025.0,NBA,all_nba,ORV,C,Jaren Jackson Jr.,jacksja02,25.0,55.0,500.0,0.11,0.0,1.0,52.0
2025.0,NBA,all_nba,ORV,C,Ivica Zubac,zubaciv01,27.0,15.0,500.0,0.03,0.0,0.0,15.0
2025.0,NBA,all_nba,ORV,G,Darius Garland,garlada01,25.0,6.0,500.0,0.012,0.0,1.0,3.0
2025.0,NBA,all_nba,ORV,C,Domantas Sabonis,sabondo01,28.0,4.0,500.0,0.008,0.0,0.0,4.0
2025.0,NBA,all_nba,ORV,F,Pascal Siakam,siakapa01,30.0,4.0,500.0,0.008,0.0,0.0,4.0
2025.0,NBA,all_nba,ORV,C,Bam Adebayo,adebaba01,27.0,3.0,500.0,0.006,0.0,1.0,0.0
2025.0,NBA,all_nba,ORV,G,Trae Young,youngtr01,26.0,3.0,500.0,0.006,0.0,0.0,3.0
2025.0,NBA,all_nba,ORV,G,Devin Booker,bookede01,27.0,2.0,500.0,0.004,0.0,0.0,2.0
2024.0,NBA,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,25.0,495.0,495.0,1.0,99.0,0.0,0.0
2024.0,NBA,all_nba,1T,C,Nikola Jokić,jokicni01,28.0,495.0,495.0,1.0,99.0,0.0,0.0
2024.0,NBA,all_nba,1T,G,Luka Dončić,doncilu01,24.0,493.0,495.0,0.996,98.0,1.0,0.0
2024.0,NBA,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,29.0,473.0,495.0,0.956,88.0,11.0,0.0
2024.0,NBA,all_nba,1T,F,Jayson Tatum,tatumja01,25.0,427.0,495.0,0.863,65.0,34.0,0.0
